hip_id,ra_degrees,dec_degrees,magnitude
7387,23.8113,-58.1394,6.03
7436,23.9435,14.6614,6.23
7443,23.9608,-39.947,6.43
7444,23.9686,41.0764,6.39
7447,23.9778,17.4338,5.95
7450,23.9957,-15.4002,5.41
7463,24.0351,-29.9074,5.69
7493,24.1134,48.7228,6.2
7505,24.1813,7.8315,6.39
7506,24.1865,-58.271,6.18
7513,24.1999,41.4064,4.1
7535,24.2748,12.1415,5.54
7568,24.3657,-84.7697,5.66
7580,24.4065,-9.4041,6.24
7588,24.4281,-57.2367,0.45
7593,24.4467,64.7394,6.49
7597,24.4669,-3.4407,6.43
7601,24.4791,-82.9753,5.88
7607,24.4979,48.6285,3.59
7617,24.5315,57.9776,5.55
7643,24.6146,-36.528,5.94
7650,24.6289,73.0401,5.28
7651,24.6327,45.3997,6.38
7679,24.7154,-21.2755,5.58
7719,24.8376,44.3861,5.01
7740,24.9199,16.4059,5.98
7751,24.9468,-56.1964,5.76
7786,25.0547,53.8683,6.35
7818,25.145,40.5771,4.96
7819,25.1454,8.7608,6.34
7825,25.1648,43.2978,5.63
7874,25.3262,25.7458,6.2
7879,25.3387,-79.1483,6.33
7884,25.3579,5.4876,4.45
7886,25.3637,-38.133,6.2
7906,25.4135,30.0471,5.97
7916,25.4367,-11.3237,5.75
7918,25.4438,42.6138,4.96
7921,25.4498,-60.7892,5.7
7941,25.5126,-36.8323,5.7
7943,25.5144,35.2458,5.63
7955,25.536,-32.3269,5.25
7963,25.5737,58.6278,6.35
7965,25.5852,68.043,5.57
7978,25.6215,-53.7406,5.52
7981,25.6248,20.2702,5.24
7999,25.6813,-3.6901,4.98
8016,25.7322,70.6226,5.18
8020,25.743,61.4211,6.33
8044,25.8183,45.3226,6.33
8046,25.8322,60.5514,5.78
8068,25.9151,50.6888,4.01
8086,25.959,32.192,6.32
8094,25.9784,-4.7654,6.2
8102,26.0214,-15.9396,3.49
8115,26.0746,57.5367,6.18
8127,26.1106,46.1398,6.32
8143,26.182,-6.7662,6.45
8148,26.1923,57.0892,6.25
8159,26.2327,20.0834,6.27
8198,26.3483,9.1576,4.26
8209,26.4111,-25.0524,5.29
8230,26.4969,-5.7332,5.37
8233,26.5041,-27.3487,6.38
8240,26.5247,-50.8162,5.49
8241,26.5256,-53.5222,5.04
8320,26.8196,-41.76,6.18
8362,26.9336,63.8531,5.63
8366,26.9445,-80.1762,6.05
8369,26.949,-37.1595,6.33
8370,26.95,46.2299,6.33
8387,27.0454,16.9556,5.86
8404,27.1084,3.6854,5.91
8423,27.1618,37.9529,5.94
8433,27.1737,32.6895,5.78
8475,27.3148,47.897,6.01
8480,27.3307,-31.0724,6.35
8497,27.3966,-10.6862,4.66
8514,27.4536,-38.4035,6.37
8544,27.5358,22.2754,5.83
8552,27.5837,-47.8165,6.14
8588,27.7167,11.0434,5.92
8593,27.727,-50.2061,5.94
8598,27.7379,51.9337,5.96
8641,27.8598,-39.8359,6.44
8645,27.865,-10.3349,3.74
8664,27.9075,-6.8741,6.42
8688,27.942,-15.6475,6.44
8704,27.9971,55.1474,5.53
8714,28.039,50.7929,5.7
8771,28.2114,51.4749,6.28
8778,28.217,-16.9291,5.78
8796,28.2704,29.5794,3.42
8814,28.3223,40.7298,5.42
8820,28.3462,-38.5947,6.09
8832,28.3824,19.2941,3.88
8833,28.3889,3.1875,4.61
8837,28.4117,-46.3024,4.39
8847,28.4519,55.5977,6.44
8882,28.5919,-42.4969,5.12
8886,28.5987,63.6701,3.35
8903,28.6598,20.8083,2.64
8922,28.724,40.7022,6.25
8928,28.7334,-67.6475,4.68
8930,28.7401,37.1283,6.28
8957,28.8321,-60.3124,6.43
8983,28.9436,-60.8611,6.07
8991,28.9594,-78.3487,6.15
8993,28.9626,23.5773,5.76
8998,28.9739,1.8495,6.01
9001,28.977,37.2778,5.89
9007,28.9868,-51.6096,3.69
9009,29.0,68.6853,4.97
9021,29.0385,37.2518,5.69
9022,29.0391,-49.8365,6.37
9061,29.1673,-22.5267,4.92
9085,29.2486,-51.7669,6.1
9094,29.2909,-10.2418,6.42
9095,29.2916,-47.3853,4.82
9110,29.3376,17.8176,5.09
9132,29.4322,27.8045,5.84
9149,29.4724,-65.4247,6.36
9153,29.4824,23.5961,4.79
9163,29.4968,47.0955,6.48
9207,29.6112,-33.0667,6.37
9220,29.6384,61.6978,6.02
9222,29.6396,49.2043,5.7
9236,29.6911,-61.5699,2.86
9237,29.6915,-11.3007,6.46
9295,29.8578,12.295,6.09
9307,29.8983,21.0586,5.89
9312,29.9083,64.6216,5.29
9313,29.9119,-42.0303,5.57
9318,29.9212,-66.0666,6.09
9326,29.9425,-20.8246,5.43
9347,30.0009,-21.0778,3.99
9353,30.0376,3.0976,5.89
9372,30.1115,-8.5238,5.43
9440,30.3117,-30.0016,5.34
9459,30.4267,-44.7134,5.15
9480,30.4898,70.907,4.49
9487,30.5117,2.7638,3.82
9505,30.5753,54.4875,4.99
9521,30.6178,-29.6657,6.4
9533,30.6462,13.4767,5.97
9562,30.7157,-23.8866,6.3
9564,30.7187,64.9015,6.0
9568,30.7377,77.9163,6.04
9570,30.7415,33.2842,5.5
9572,30.744,-15.3059,5.87
9573,30.7508,64.39,5.59
9586,30.7938,73.8506,6.12
9589,30.7984,0.1285,5.42
9598,30.8591,72.4212,3.95
9621,30.9136,25.9354,5.64
9622,30.9187,-4.1034,5.61
9627,30.9276,18.2533,6.24
9631,30.9505,-0.3401,5.96
9640,30.9747,42.3298,2.1
9655,31.0518,-11.8598,6.43
9677,31.1226,-29.2968,4.68
9685,31.146,-54.8816,6.45
9706,31.2125,7.7357,6.44
9727,31.2794,77.2815,5.27
9763,31.3816,76.1151,5.22
9809,31.5511,8.2481,6.27
9827,31.622,0.0354,6.29
9836,31.6413,22.6484,5.03
9859,31.7051,25.7046,6.01
9862,31.7165,-19.1388,6.39
9884,31.7929,23.4628,2.01
9951,32.0237,-41.8804,6.5
9977,32.1214,37.8592,4.78
9983,32.1398,44.4595,6.38
9990,32.1691,58.4236,5.66
9999,32.1903,-17.7791,6.07
10035,32.2889,-43.5165,5.84
10050,32.3459,17.2246,6.4
10053,32.3554,25.94,4.98
10054,32.356,81.2959,6.05
10064,32.3855,34.9874,3.0
10069,32.3951,-24.3457,6.48
10096,32.4518,-40.8664,6.49
10111,32.5199,-43.8156,6.32
10115,32.5322,53.8432,6.31
10138,32.6,-50.8253,6.12
10155,32.6564,19.5004,5.68
10176,32.7201,39.0396,6.09
10203,32.8003,25.937,6.01
10212,32.8382,8.5701,5.64
10215,32.8427,-10.0517,6.0
10220,32.8542,31.5264,6.24
10227,32.8716,57.6455,6.38
10234,32.8993,-1.8253,5.94
10273,33.0657,2.7455,6.49
10280,33.093,30.3032,4.94
10296,33.1563,24.1678,5.96
10305,33.1972,-2.3935,5.65
10306,33.1999,21.211,5.23
10309,33.2083,79.6915,6.46
10320,33.2269,-30.7238,5.27
10324,33.25,8.8468,4.36
10326,33.254,-21.0002,5.86
10328,33.2635,15.2799,5.72
10340,33.3056,44.2317,4.84
10350,33.3377,74.0278,6.25
10361,33.3896,53.0586,6.5
10366,33.4001,51.0662,5.31
10379,33.4234,58.5606,6.43
10396,33.4731,-9.0647,6.43
10403,33.5105,47.4844,6.05
10418,33.5604,-67.8416,5.57
10438,33.6213,66.5244,6.05
10440,33.6332,-41.1667,5.91
10446,33.6578,28.6914,6.35
10513,33.869,-67.7463,5.67
10535,33.9285,25.0433,5.57
10540,33.9414,25.7831,5.79
10559,33.9846,33.359,5.25
10562,33.9904,47.8121,6.37
10602,34.1271,-51.5121,3.56
10623,34.1886,83.5615,6.45
10633,34.2155,57.0552,6.48
10642,34.2458,-6.4219,5.51
10644,34.2601,34.2248,4.84
10670,34.3285,33.8473,4.03
10718,34.4993,57.8998,5.75
10723,34.5051,1.7569,5.6
10729,34.5192,57.5163,5.99
10732,34.5314,19.9012,5.58
10793,34.7375,28.6427,5.29
10795,34.7415,23.1678,6.45
10798,34.7444,-25.9468,6.33
10814,34.7952,46.4723,6.21
10819,34.8202,47.38,5.31
10826,34.8366,-2.9771,6.47
10830,34.8449,48.9553,6.44
10832,34.8532,-41.8484,6.36
10854,34.9198,-4.3456,6.5
10871,34.976,-55.9448,5.81
10924,35.1729,47.3108,6.17
10944,35.2424,50.1515,5.57
11001,35.4376,-68.6594,4.08
11020,35.481,57.2429,6.4
11021,35.486,0.3957,5.29
